U101923894000154023600713     400416        SANTO ANTONIO ALUMINIO LTDA                       
P2019238940001548861          BROCA AR 1/16 ATC                                 UNI   ATT1700000000000430
P2019238940001548862          BROCA AR 5/64 IRWIN                               UNI   ATT1700000000000620
P2019238940001548863          PERFILADOS TUBO RETANGULAR 20 X 40 0.80 GALV      UNI   ATT1700000000002850
P2019238940001548864          ALCOA BATEDOR T BRANCO                            UNI   ATT1700000000000850
P2019238940001548865          GERDAU TELA P/COLUNA 8MM 7X17 6M 5/16             PC    ATF0000000000006250
P2019238940001548866          ACO CEARENSE METALON 20 X 20 1.50                 PC    ATT1700000000002850
P2019238940001548867          ACO CEARENSE METALON 25 X 25 1.50                 UNI   ATT1700000000003610
P2019238940001548868          ACO CEARENSE METALON 30 X 30 1.50                 PC    ATT1700000000004540
P2019238940001548869          ACO CEARENSE PERFIL ENR 6 X 2,65 60MM             PC    ATT1700000000016000
P2019238940001548870          MANDRIL ROSCA 13L 1 2X20                          UNI   ATT1700000000001999
P2019238940001548871          WA TAMPA ALUM ABAULADA 2"                         UNI   ATT1700000000002340
P2019238940001548872          WA ACABAMENTO P/TUBO 2"                           UNI   ATT1700000000000880
P2019238940001548873          WA CONEXAO ART P/COR 2"                           UNI   ATT1700000000004810
P2019238940001548874          WA BASE P/ TUBO 2" 8CM                            UNI   ATT1700000000002920
P2019238940001548875          WA COTOVELO TAMPA 2"                              UNI   ATT1700000000003640
P2019238940001548876          WA CONEXAO FIXA 2"                                UNI   ATT1700000000003500
P2019238940001548877          BANDEIRANTES VIDRO SERIGRAFADO                    PC    ATF0000000000018000
P2019238940001548878          COMPRESSOR DE AR GAMA 50(220V) 2HP 50L            UNI   ATT1700000000079999
P2019238940001548879          MAQUINA DE SOLDA JET 155(220V) 50-150 A           UNI   ATT1700000000034999
P2019238940001548880          MAQUINA DE SOLDA TURBO 220(220V) 50/180 A         UNI   ATT1700000000049999
P2019238940001548881          MAQUINA DE SOLDA TURBO 225(BIVOLT) 50-210 A       UNI   ATT1700000000061999
P2019238940001548882          FURADEIRA DE BANCADA 16MM                         UNI   ATT1700000000079999
P2019238940001548883          SERRA DE CORTE(220V) 14"                          UNI   ATT1700000000074999
P2019238940001548884          FURADEIRA DE IMPACTO C/KIT (220V)                 UNI   ATT1700000000018699
P2019238940001548885          FURADEIRA DE IMPACTO(220V) 13MM 550W              UNI   ATF0000000000017199
P2019238940001548886          FUDADEIRA DE IMPACTO (220V) 13MM 850W             UNI   ATF0000000000020999
P2019238940001548887          ESMERILHADEIRA ANGULAR (220V)4.5"                 UNI   ATT1700000000016299
P2019238940001548888          ESMERILHADEIRA ANGULAR (220V)7"                   UNI   ATT1700000000032999
P2019238940001548889          PARAFUSADEIRA A BATERIA                           UNI   ATT1700000000010899
P2019238940001548890          PARAFUSADEIRA DRYWALL(220V)450W                   UNI   ATT1700000000024599
P2019238940001548891          MOTO ESMERILDE BANCADA 550W                       UNI   ATT1700000000022999
P2019238940001548892          MOTO ESMERIL DE BANCADA 350W                      UNI   ATT1700000000017199
P2019238940001548893          BANDEIRANTES VIDRO PRETO 04MM 3,21X2,20MM         M     ATF0000000000020499
P2019238940001548894          BANDEIRANTES PERFIL MWA 021 PRETO                 UNI   ATF0000000000004030
P2019238940001548895          BANDEIRANTES PERFIL MWA 035 PRETO                 UNI   ATF0000000000001690
P2019238940001548896          GEPETEC PINO P/ROLAMENTO 1 1/2 6305               UNI   ATT1700000000002992
P2019238940001548897          GEPETEC PINO P/ROLAMENTO 1/2 6200                 UNI   ATT1700000000000210
P2019238940001548898          GEPETEC PINO P/ROLAMENTO 1/4 626                  UNI   ATT1700000000000140
P2019238940001548899          GEPETEC PINO P/ROLAMENTO 3/4 6202                 UNI   ATT1700000000000510
P2019238940001548900          GEPETEC PINO P/ROLAMENTO 3/8 6001                 UNI   ATT1700000000000180
P2019238940001548901          GEPETEC PINO P/ROLAMENTO 5/16 608                 UNI   ATT1700000000000170
P2019238940001548902          GEPETEC PINO P/ROLAMENTO 5/8 6201                 UNI   ATT1700000000000260
P2019238940001548903          GEPETEC PINO P/ROLAMENTO 7/8 6203                 UNI   ATT1700000000000910
P2019238940001548904          PERFILADOS CHAPA ZC 1.11X1200X2000MM              PC    ATT1700000000012999
P2019238940001548905          EXPOSITOR GAMMA                                   UNI   ATT1700000000033320
P2019238940001548906          ACO CEARENSE TIRA ART GALV. PESADA 0.47 3,40KG    PC    ATT1700000000001680
P2019238940001548907          BROCA AR 11/32 IRWIN                              UNI   ATT1700000000001950
P2019238940001548908          BROCA VIDEA 3/8(9.5MM) IRWIN                      UNI   ATT1700000000001330
P2019238940001548909          BROCA VIDEA 5/16 (8.0MM) IRWIN                    UNI   ATT1700000000001150
P2019238940001548910          DISCO CORTE INOX 4 1/2 X 3/64 BNA 12 2T           UNI   ATT1700000000000280
P2019238940001548911          PARAFUSO SEXT SOB1 4 X 65MM                       UNI   ATF0000000000000040
P2019238940001548912          PARAFUSO SEXT SOB5 16X50MM                        UNI   ATF0000000000000055
P2019238940001548913          BANDEIRANTES KIT BOX AL KF-2P-100 PT BRI          UNI   ATF0000000000018299
P2019238940001548914          BANDEIRANTES KIT BOX AL KC-4P-120 PT BRI          UNI   ATF0000000000036499
P2019238940001548915          BANDEIRANTES KIT BARRA INTEIRA                    UNI   ATF0000000000029999
P2019238940001548916          BARRA ROSCA 3/4 1020 NC 10F                       UNI   ATF0000000000000730
P2019238940001548917          DISCO CORTE INOX 7X1 16 BNA 12                    UNI   ATT1700000000000560
P2019238940001548918          DISCO DESBASTE FERRO 4.12 BDA 500 MAXI            UNI   ATT1700000000000750
P2019238940001548919          PORTA ELETRODO 500A C 500 LOYAL                   UNI   ATF0000000000003299
P2019238940001548920          CBA CANTONEIRA L 1X1/16 6063 T5                   UNI   ATT1700000000000620
P2019238940001548921          CBA CANTONEIRA L 3/8X1/16 6063 T5                 UNI   ATT1700000000000460
P2019238940001548922          BRASKORT DISCO CORTE 14X1/8X1                     UNI   ATT1700000000002670
P2019238940001548925          ALICATE REBITADOR 9.5  4 PONT                     UNI   ATT1700000000002150
P2019238940001548923          PARAFUSO FEN MD CH 4,2X40MM 8 X 1.1/2 BELENUS     UNI   ATF0000000000000020
P2019238940001548924          ACO CEARENSE METALON GALV 25 X 25 1.25            UNI   ATT1700000000003535
P2019238940001548926          BROCA AR 9/16 IRWIN                               UNI   ATT1700000000016999
P2019238940001548927          LENTE RETANGULAR INC 51X108                       UNI   ATT1700000000000080
P2019238940001548928          PARAFUSO AUTO BROC 4.2X13MM                       UNI   ATF0000000000000012
P2019238940001548929          PARAFUSO SEXT SOB5 16X75MM                        UNI   ATF0000000000000080
P2019238940001548930          PARAFUSO SEXT SOB5 16X65MM                        UNI   ATF0000000000000070
P2019238940001548458          PET AMAZONAS RECICLADA VERDE                      PC    ATT1700000000002386
P2019238940001548478          IMP FIS LOGGER ECF IF FIT 01.00.08 SERIAL ELGIN   UNI   ATT1700000000220000
E20192389400015408061         CHAPA ROLO 1200-H14 600X0.50/CBA                  KG    +000006853
E20192389400015408062         CBA PERFIL AL LIGA 6063 N-0320                    M     +000000700
E20192389400015408063         CBA PERFIL AL LIGA 6063 N-1370                    M     +000057000
E20192389400015408002         CBA PERFIL AL LIGA 6063 N-1223                    M     +000000000
E20192389400015408007         CBA PERFIL AL LIGA 6063 N-1310                    M     +000004900
E20192389400015408013         CBA PERFIL AL LIGA 6063 N-0147                    M     +000005050
E20192389400015408015         DOBRADICA ALUMINIO 70X70 FOSCA                    PC    +000084100
E20192389400015408017         CBA PERFIL AL LIGA 6063 N-1090                    M     +000001800
E20192389400015408018         CBA PERFIL AL LIGA 6063 N-0098                    M     +000048950
E20192389400015408019         CBA PERFIL AL LIGA 6063 N-0392                    M     +000001230
E20192389400015408020         CBA PERFIL AL LIGA 6060 L-0045                    M     +000055000
E20192389400015408022         CBA PERFIL AL LIGA 6063 U-0001                    M     +000001855
E20192389400015408023         CHAPA ROLO 1200-H14 500X0.50/CBA                  KG    +000008696
E20192389400015408024         CHAPA AL LISA 1200-H14 2.0X1.0X1.2M               PC    +000000000
E20192389400015408025         CBA PERFIL AL LIGA 6063 N-1615/MOLDURA PORTA      M     +000129950
E20192389400015408026         CBA PERFIL AL LIGA 6063 E-0691                    M     +000052285
E20192389400015408027         CBA PERFIL AL LIGA 6063 E-0946                    M     +000024280
E20192389400015408028         CBA PERFIL AL LIGA 6063 N-1553                    M     +000034580
E20192389400015408029         CBA PERF AL LIGA 6063 N-1896/TRILH.INF.BOX L-25   M     +000011737
E20192389400015408030         CBA PERFIL AL LIGA 6063 N-1099                    M     +000008050
E20192389400015408032         CBA PERFIL AL LIGA 6063 N-1152                    M     +000000900
E20192389400015408033         CBA PERFIL AL LIGA 6063 N-2126                    M     +000068650
E20192389400015408037         CBA PERFIL AL LIGA 6063 N-1958                    M     +000008515
E20192389400015408038         CBA PERF AL LIGA 6063 N-1961/ABERTO P/JANELA L-25 M     +000028950
E20192389400015408044         CBA PERFIL AL LIGA 6063 N-1347                    M     +000000430
E20192389400015408045         CBA PERFIL AL LIGA 6063 N-1101/ SP 200            M     +000008900
E20192389400015408046         CBA PERFIL AL LIGA 6063 N-1618                    M     +000000000
E20192389400015408047         CBA PERFIL AL LIGA 6063 N-0749                    M     +000000000
E20192389400015408048         CBA PERFIL AL LIGA 6063 N-1014                    M     +000000200
E20192389400015408049         CBA PERFIL AL LIGA 6063 N-1609                    M     +000000000
E20192389400015408050         CBA PERF AL AL LIGA 6063 N-1895/DIV.BOX L-25      M     +000060350
E20192389400015408051         CBA PERFIL AL LIGA 6063 N-1269                    M     +000003100
E20192389400015408052         CBA PERFIL AL LIGA 6063 N-0697                    M     +000034584
E20192389400015408053         CBA PERFIL AL LIGA 6063 N-0042                    M     +000011515
E20192389400015408054         CBA PERFIL AL LIGA 6063 N-0417                    M     +000004028
E20192389400015408056         CBA PERFIL AL LIGA 6063 N-0717                    M     +000076810
E20192389400015408057         CBA PERFIL AL LIGA 6063 N-0710                    M     +000001350
E20192389400015408059         CBA PERF AL LIGA 6063 N-1898/TRIL.SUP.BOX L-25    M     +000001620
E20192389400015408064         CBA PERF AL LIGA 6063 N-1897/LATERAL BOX L-25     M     +000081920
E20192389400015408065         CBA PERFIL AL LIGA 6063 N-0009                    M     +000000500
E20192389400015408067         CBA PERFIL AL LIGA 6063 E-709/ BAGUETE            M     +000747985
E20192389400015408070         HASTE ALUMINIO 1/4 X 30                           UN    +000270000
E20192389400015408335         HASTE ALUMINIO 1/4 X 20                           PC    +000103900
E20192389400015408073         HASTE ALUMINIO 1/4 X 25                           UN    +000045700
E20192389400015408077         FECHO CONTRA FECHO ALUM REB DIR FOSCO             UNI   +000012600
E20192389400015408080         DOBRADICA  ALUM 90 X 70 FOSCA                     UN    +000057500
E20192389400015408081         PROMEL DOBRADICA AL.102X64 804                    UN    +000088300
E20192389400015408084         POLIEST.MONOCRIL 98 X 180 X 002 CRISTAL           UN    +000000620
E20192389400015408085         POLIEST.ESPUMA 98 X 180 X 0002 CRISTAL.           UN    +000003200
E20192389400015408086         POLIEST.MONOCRIL 98 X 180 X 002 FUME              UN    +000001350
E20192389400015408090         POLIEST.AMAZONAS 98 X 180 X 002 CRISTAL           UN    +000000000
E20192389400015408091         POLIEST.NIAGARA 98 X 180 X 002 OURO               UN    +000002800
E20192389400015408092         POLIEST AMAZONAS 98 X 180 X 002 OURO              PC    +000000340
E20192389400015408093         POLIEST.AMAZONAS 98 X 180 X 002 VERDE             UN    +000000650
E20192389400015408094         POLIEST.ESPUMA 98 X 180 X 002 FUME                UN    +000001100
E20192389400015408095         POLIEST. CANELADO 98 X 180 X 002 FUME             UN    +000000000
E20192389400015408096         POLIEST.NIAGARA 98 X 180 X 002 VERDE              UN    +000002150
E20192389400015408338         GERDAU BARRA REDONDA 5/16 6MTS                    PC    +000002900
E20192389400015408339         GERDAU BARRA REDONDA 1/2 6MTS                     PC    +000004057
E20192389400015408340         CBA PERFIL AL LIGA 6060 N-3185/MOLDURA BUZIO      M     +000065430
E20192389400015408341         GERDAU BARRA QUADRADA 3/8                         PC    +000087850
E20192389400015408342         GERDAU BARRA QUADRADA 1/2                         PC    +000002050
E20192389400015408344         GERDAU BARRA CHATA 5/8 X 1/8                      PC    +000025150
E20192389400015408346         GERDAU BARRA CHATA 7/8 X 1/8                      PC    +000028600
E20192389400015408347         GERDAU BARRA CHATA 1 X 1/8                        PC    +000054451
E20192389400015408348         GERDAU BARRA CHATA 1.1/4 X 1/8                    PC    +000020980
E20192389400015408350         GERDAU BARRA CHATA 2 X 1/8                        M     +000080400
